Genome,Completeness,Contamination,medium_quality.pass,near_complete.pass,medium_quality_gunc.pass,near_complete_gunc.pass,QS50,QS50.pass,pass.GUNC,QS50_gunc.pass,classification
SRR6915092_MB2.20,80.95,1.79,True,False,True,False,72.0,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp900547385
SRR6915092_MB2.21_sub,79.85,4.19,True,False,True,False,58.89999999999999,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes finegoldii
SRR6915092_MB2.22,100.0,0.28,True,True,True,True,98.6,True,True,True,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila
SRR6915092_MB2.23,90.7,3.22,True,True,True,True,74.6,True,True,True,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis
SRR6915092_MB2.27,79.61,2.09,True,False,False,False,69.16,True,False,False,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CAG-312;g__Merdousia;s__Merdousia gallistercoris
SRR6915092_MB2.28,84.85,5.42,True,False,True,False,57.74999999999999,True,True,False,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp000434635
SRR6915092_MB2.29,94.34,0.05,True,True,True,True,94.09,True,True,True,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CAG-312;g__Merdousia;s__Merdousia sp001917305
SRR6915092_MB2.39_sub,55.96,5.23,True,False,False,False,29.81,True,False,False,d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__
SRR6915092_MB2.9,87.28,1.24,True,False,True,False,81.08,True,True,True,d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RFN20;f__CAG-288;g__CAG-568;s__CAG-568 sp000434395
SRR6915092_human_gut_SB2_0,85.21,0.45,True,False,True,False,82.96,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii
SRR6915092_human_gut_SB2_1,80.25,1.36,True,False,True,False,73.45,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes merdipullorum
SRR6915092_human_gut_SB2_12_sub,66.56,2.9,True,False,True,False,52.06,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135
SRR6915092_human_gut_SB2_19,85.37,1.18,True,False,True,False,79.47,True,True,True,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__UBA1822;s__UBA1822 sp900545365
SRR6915092_human_gut_SB2_2,87.1,0.42,True,False,True,False,85.0,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola excrementipullorum
SRR6915092_human_gut_SB2_38,91.97,0.82,True,True,True,True,87.87,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-917;g__CAG-475;s__CAG-475 sp000434435
SRR6915092_human_gut_SB2_4,75.1,2.06,True,False,True,False,64.8,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola_A;s__Phocaeicola_A sp900291465
SRR6915092_human_gut_SB2_43,57.05,2.81,True,False,False,False,43.0,True,False,False,d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Faecisoma;s__Faecisoma sp000432255
SRR6915092_human_gut_SB2_46,76.17,0.04,True,False,True,False,75.97,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp000432435
SRR6915092_human_gut_SB2_51,99.06,4.7,True,True,True,True,75.56,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes merdavium
SRR6915092_human_gut_SB2_60,96.72,0.46,True,True,True,True,94.42,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435555
SRR6915092_human_gut_SB2_8,97.32,0.0,True,True,True,True,97.32,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__SFEL01;s__SFEL01 sp004557245
SRR6915092_human_gut_SB2_83,99.38,0.37,True,True,True,True,97.53,True,True,True,d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RFN20;f__CAG-826;g__UBA4951;s__UBA4951 sp944375905
SRR6915093_MB2.13,63.08,0.43,True,False,True,False,60.93,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus sp000435195
SRR6915093_MB2.15,92.75,2.16,True,True,True,True,81.95,True,True,True,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis
SRR6915093_MB2.16,93.5,0.06,True,True,True,True,93.2,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__Phil1;s__Phil1 sp001940855
SRR6915093_MB2.19_sub,85.12,4.9,True,False,False,False,60.620000000000005,True,False,False,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii
SRR6915093_MB2.20_sub,77.66,2.85,True,False,False,False,63.41,True,False,False,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides johnsonii
SRR6915093_MB2.22,53.66,1.0,True,False,False,False,48.66,True,False,False,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__Paraprevotella clara
SRR6915093_MB2.23,55.27,0.12,True,False,True,False,54.67,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
SRR6915093_MB2.24,54.86,0.63,True,False,True,False,51.71,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor intestinalis
SRR6915093_MB2.2_sub,61.16,4.08,True,False,True,False,40.76,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes finegoldii
SRR6915093_MB2.9,95.21,0.21,True,True,True,True,94.16,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135
SRR6915093_human_gut_SB2_11,90.01,1.5,True,True,True,True,82.51,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003514385
SRR6915093_human_gut_SB2_16,85.29,1.18,True,False,True,False,79.39,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii
SRR6915093_human_gut_SB2_17,96.68,0.51,True,True,True,True,94.13,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola fusiformis
SRR6915093_human_gut_SB2_21,87.35,1.47,True,False,True,False,80.0,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
SRR6915093_human_gut_SB2_3,85.01,0.03,True,False,True,False,84.86,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
SRR6915093_human_gut_SB2_33,90.41,0.14,True,True,True,True,89.71,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp900539625
SRR6915093_human_gut_SB2_39,99.78,0.38,True,True,True,True,97.88,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_B
SRR6915093_human_gut_SB2_66,96.45,0.98,True,True,True,True,91.55,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis
SRR6915093_human_gut_SB2_8,65.57,0.0,True,False,True,False,65.57,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprophilus
SRR6915094_MB2.1,66.44,0.26,True,False,True,False,65.14,True,True,True,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium
SRR6915094_MB2.14,81.06,1.03,True,False,False,False,75.91,True,False,False,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis
SRR6915094_MB2.18,99.99,0.94,True,True,False,False,95.29,True,False,False,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis
SRR6915094_MB2.22,82.54,0.52,True,False,False,False,79.94000000000001,True,False,False,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans
SRR6915094_MB2.23,89.58,0.62,True,False,True,False,86.48,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
SRR6915094_human_gut_SB2_1,80.94,4.24,True,False,True,False,59.74,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella tayi
SRR6915094_human_gut_SB2_13,67.14,1.04,True,False,True,False,61.94,True,True,True,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D casseliflavus
SRR6915094_human_gut_SB2_17,99.99,0.15,True,True,True,True,99.24,True,True,True,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duodenibacillus;s__Duodenibacillus intestinigallinarum
SRR6915094_human_gut_SB2_18,99.89,0.73,True,True,True,True,96.24,True,True,True,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter braakii
SRR6915094_human_gut_SB2_19,82.11,2.11,True,False,True,False,71.56,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques
SRR6915094_human_gut_SB2_20,93.87,1.43,True,True,True,True,86.72,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000437735
SRR6915094_human_gut_SB2_4,82.18,2.41,True,False,True,False,70.13000000000001,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii
SRR6915094_human_gut_SB2_6,100.0,0.02,True,True,True,True,99.9,True,True,True,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa
SRR6915094_human_gut_SB2_7,99.95,0.21,True,True,True,True,98.9,True,True,True,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
SRR6915095_human_gut_SB2_0,98.9,1.6,True,True,True,True,90.9,True,True,True,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
SRR6915095_human_gut_SB2_2,99.96,0.23,True,True,True,True,98.81,True,True,True,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Morganella;s__Morganella morganii
SRR6915095_human_gut_SB2_5,95.25,0.48,True,True,True,True,92.85,True,True,True,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae
SRR6915097_MB2.10,62.42,1.5,True,False,True,False,54.92,True,True,True,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis
SRR6915097_MB2.21_sub,85.16,5.83,True,False,True,False,56.01,True,True,False,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium longum
SRR6915097_MB2.23,93.78,1.38,True,True,True,True,86.88,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola sp934835795
SRR6915097_MB2.27_sub,91.83,4.01,True,True,True,True,71.78,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes finegoldii
SRR6915097_MB2.35,99.26,0.37,True,True,True,True,97.41,True,True,True,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__51-20;s__51-20 sp001917175
SRR6915097_MB2.8,85.32,1.7,True,False,False,False,76.82,True,False,False,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis
SRR6915097_human_gut_SB2_17,93.23,4.64,True,True,True,True,70.03,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
SRR6915097_human_gut_SB2_20,93.51,1.12,True,True,True,True,87.91000000000001,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595
SRR6915097_human_gut_SB2_3,63.5,2.02,True,False,True,False,53.4,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900757655
SRR6915097_human_gut_SB2_38,91.48,3.4,True,True,True,True,74.48,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii
SRR6915097_human_gut_SB2_46_sub,66.46,3.5,True,False,True,False,48.96,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_F
SRR6915097_human_gut_SB2_48,98.89,3.28,True,True,True,True,82.49000000000001,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis
SRR6915097_human_gut_SB2_57,53.89,0.06,True,False,False,False,53.59,True,False,False,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus
SRR6915097_human_gut_SB2_63,98.56,2.48,True,True,True,True,86.16,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003514385
SRR6915097_human_gut_SB2_72,100.0,0.19,True,True,True,True,99.05,True,True,True,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila
SRR6915097_human_gut_SB2_78,86.59,0.31,True,False,True,False,85.04,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes communis
SRR6915097_human_gut_SB2_84,88.01,0.48,True,False,True,False,85.61,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis
SRR6915097_human_gut_SB2_85,97.26,0.06,True,True,True,True,96.96,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435555
SRR6915098_human_gut_SB2_0,55.83,3.17,True,False,True,False,39.98,True,True,True,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D gallinarum
SRR6915098_human_gut_SB2_3,83.44,1.44,True,False,True,False,76.24,True,True,True,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia;s__Abiotrophia defectiva
SRR6915098_human_gut_SB2_7,78.44,0.12,True,False,True,False,77.84,True,True,True,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella aerogenes
SRR6915099_MB2.35,73.28,0.69,True,False,False,False,69.83,True,False,False,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila sp900550745
SRR6915099_MB2.37_sub,88.93,4.38,True,False,False,False,67.03,True,False,False,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii
SRR6915099_MB2.39,84.92,0.68,True,False,True,False,81.52,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum faecicola
SRR6915099_MB2.41,74.13,3.44,True,False,True,False,56.92999999999999,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__
SRR6915099_human_gut_SB2_12,99.93,0.18,True,True,True,True,99.03,True,True,True,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella gallistercoris
SRR6915099_human_gut_SB2_13,80.69,0.32,True,False,False,False,79.09,True,False,False,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei
SRR6915099_human_gut_SB2_15,99.45,0.0,True,True,True,True,99.45,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans
SRR6915099_human_gut_SB2_19,74.59,5.18,True,False,True,False,48.690000000000005,True,True,False,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D
SRR6915099_human_gut_SB2_20,99.66,0.15,True,True,True,True,98.91,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp003447235
SRR6915099_human_gut_SB2_21,75.6,0.08,True,False,True,False,75.19999999999999,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae
SRR6915099_human_gut_SB2_26,60.79,5.58,True,False,True,False,32.89,True,True,False,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis
SRR6915099_human_gut_SB2_38,89.3,5.62,True,False,True,False,61.2,True,True,False,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium longum
SRR6915099_human_gut_SB2_4,99.81,0.22,True,True,False,False,98.71,True,False,False,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatocola;s__Scatocola faecipullorum
SRR6915099_human_gut_SB2_43_sub,81.85,9.54,True,False,True,False,34.15,True,True,False,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__Evtepia sp004556345
SRR6915099_human_gut_SB2_44,86.21,0.01,True,False,True,False,86.16,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis
SRR6915099_human_gut_SB2_46,91.02,0.2,True,True,True,True,90.02,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
SRR6915099_human_gut_SB2_50,94.38,1.51,True,True,True,True,86.83,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900545585
SRR6915099_human_gut_SB2_58,82.93,4.85,True,False,True,False,58.68000000000001,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii
SRR6915099_human_gut_SB2_60,96.01,0.04,True,True,False,False,95.81,True,False,False,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter welbionis
SRR6915099_human_gut_SB2_62,100.0,0.75,True,True,True,True,96.25,True,True,True,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
SRR6915099_human_gut_SB2_63,63.52,0.02,True,False,True,False,63.42,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella rara
SRR6915099_human_gut_SB2_80,89.81,1.76,True,False,True,False,81.01,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900540775
SRR6915099_human_gut_SB2_82,99.99,0.64,True,True,False,False,96.79,True,False,False,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis
SRR6915099_human_gut_SB2_9,99.15,0.53,True,True,True,True,96.5,True,True,True,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii
SRR6915100_MB2.15,95.29,0.24,True,True,True,True,94.09,True,True,True,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp000432375
